Timestep,Throughput
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,4
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,11
96,11
97,11
98,11
99,11
100,11
101,11
102,11
103,11
104,11
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,14
126,14
127,14
128,14
129,14
130,14
131,14
132,14
133,14
134,14
135,15
136,16
137,16
138,16
139,16
140,16
141,16
142,16
143,16
144,16
145,17
146,19
147,19
148,19
149,19
150,19
151,19
152,19
153,19
154,19
155,20
156,20
157,20
158,20
159,20
160,20
161,20
162,20
163,20
164,20
165,21
166,21
167,21
168,21
169,21
170,21
171,21
172,21
173,21
174,21
175,22
176,22
177,22
178,22
179,22
180,22
181,22
182,22
183,22
184,22
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,24
196,24
197,24
198,24
199,24
200,24
201,24
202,24
203,24
204,24
205,25
206,25
207,25
208,25
209,25
210,25
211,25
212,25
213,25
214,25
215,26
216,26
217,26
218,26
219,26
220,26
221,26
222,26
223,26
224,26
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,27
234,27
235,28
236,28
237,28
238,28
239,28
240,28
241,28
242,28
243,28
244,28
245,29
246,29
247,29
248,29
249,29
250,29
251,29
252,29
253,29
254,29
255,30
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
265,32
266,33
267,33
268,33
269,33
270,33
271,33
272,33
273,33
274,33
275,34
276,35
277,35
278,35
279,35
