Timestep,Throughput
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,2
24,2
25,2
26,2
27,2
28,2
29,3
30,5
31,6
32,8
33,8
34,8
35,8
36,8
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,10
49,10
50,10
51,10
52,10
53,11
54,11
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,13
64,13
65,14
66,14
67,14
68,14
69,16
70,17
71,17
72,21
73,21
74,21
75,21
76,21
77,22
78,23
79,23
80,23
81,23
82,23
83,23
84,23
85,23
86,23
87,23
88,23
89,23
90,23
91,23
92,23
93,24
94,24
95,25
96,25
97,25
98,25
99,25
100,25
101,25
102,25
103,25
104,25
105,26
106,26
107,26
108,26
109,27
110,27
111,27
112,31
113,31
114,31
115,31
116,31
117,31
118,31
119,33
120,34
121,34
122,34
123,34
124,34
125,34
126,34
127,34
128,34
129,34
130,34
131,34
132,34
133,34
134,34
135,36
136,36
137,36
138,36
139,36
140,36
141,36
142,36
143,36
144,36
145,36
146,36
147,36
148,36
149,36
150,36
151,36
152,40
153,41
154,41
155,41
156,41
157,41
158,41
159,41
160,42
161,46
162,46
163,46
164,46
165,46
166,46
167,46
168,46
169,46
170,46
171,46
172,46
173,46
174,46
175,46
176,47
177,47
178,47
179,47
180,47
181,48
182,48
183,48
184,48
185,48
186,48
187,48
188,48
189,48
190,48
191,48
192,48
193,48
194,50
195,51
196,52
197,52
198,52
199,52
200,52
201,52
202,52
203,52
204,52
205,52
206,52
207,52
208,52
209,52
210,52
211,52
212,52
213,52
214,52
215,52
216,52
217,52
218,52
219,52
220,52
221,52
222,52
223,52
224,52
225,52
226,52
227,52
228,52
229,52
230,52
231,52
232,52
233,53
234,53
235,55
236,61
237,61
238,61
239,61
240,61
241,61
242,61
243,61
244,61
245,61
246,61
247,61
248,61
249,61
250,61
251,61
252,61
253,61
254,61
255,61
256,61
257,61
258,61
259,61
260,61
261,61
262,61
263,61
264,61
265,61
266,61
267,61
268,61
269,61
270,61
271,61
272,61
273,61
274,61
275,63
276,65
277,67
278,67
279,67
